,ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
1009,2022-08-26 10:59:37.217088184+00:00,2022-08-26 10:59:37.216982473+00:00,160,1,97042,A,A,4184.75,14,0,6410543150678,130,18558,35103191,ES.v.0
1010,2022-08-26 10:59:37.217399612+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,T,A,4184.5,7,0,6410543150679,0,19777,35103192,ES.v.0
1011,2022-08-26 10:59:37.217399612+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,F,B,4184.5,1,0,6410543150656,0,19777,35103192,ES.v.0
1012,2022-08-26 10:59:37.217399612+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,F,B,4184.5,1,0,6410543150662,0,19777,35103192,ES.v.0
1013,2022-08-26 10:59:37.217399612+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,F,B,4184.5,2,0,6410543150663,0,19777,35103192,ES.v.0
1014,2022-08-26 10:59:37.217399612+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,F,B,4184.5,1,0,6410543150665,0,19777,35103192,ES.v.0
1015,2022-08-26 10:59:37.217399612+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,F,B,4184.5,2,0,6410543150667,0,19777,35103192,ES.v.0
1016,2022-08-26 10:59:37.217410580+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,C,B,4184.5,1,0,6410543150656,0,18258,35103193,ES.v.0
1017,2022-08-26 10:59:37.217410580+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,C,B,4184.5,1,0,6410543150662,0,18258,35103193,ES.v.0
1018,2022-08-26 10:59:37.217410580+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,C,B,4184.5,2,0,6410543150663,0,18258,35103193,ES.v.0
1019,2022-08-26 10:59:37.217410580+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,C,B,4184.5,1,0,6410543150665,0,18258,35103193,ES.v.0
1020,2022-08-26 10:59:37.217410580+00:00,2022-08-26 10:59:37.217092705+00:00,160,1,97042,C,B,4184.5,2,0,6410543150667,130,18258,35103193,ES.v.0
1021,2022-08-26 10:59:37.217424111+00:00,2022-08-26 10:59:37.217093627+00:00,160,1,97042,A,A,4184.5,1,0,6410543150683,130,16444,35103194,ES.v.0
1022,2022-08-26 10:59:37.217443771+00:00,2022-08-26 10:59:37.217101459+00:00,160,1,97042,A,A,4184.5,1,0,6410543150686,130,17203,35103195,ES.v.0
1023,2022-08-26 10:59:37.217443771+00:00,2022-08-26 10:59:37.217101901+00:00,160,1,97042,A,A,4184.5,1,0,6410543150687,130,17203,35103195,ES.v.0
1024,2022-08-26 10:59:37.217443771+00:00,2022-08-26 10:59:37.217105549+00:00,160,1,97042,C,B,4183.25,2,0,6410543150664,130,17203,35103195,ES.v.0
1025,2022-08-26 10:59:37.217453031+00:00,2022-08-26 10:59:37.217113115+00:00,160,1,97042,A,A,4184.5,2,0,6410543150690,130,15891,35103196,ES.v.0
1026,2022-08-26 10:59:37.217463175+00:00,2022-08-26 10:59:37.217116891+00:00,160,1,97042,A,A,4184.5,1,0,6410543150692,130,17457,35103197,ES.v.0
1027,2022-08-26 10:59:37.217463175+00:00,2022-08-26 10:59:37.217121307+00:00,160,1,97042,C,B,4184.25,1,0,6410543150453,130,17457,35103197,ES.v.0
1028,2022-08-26 10:59:37.217475459+00:00,2022-08-26 10:59:37.217139007+00:00,160,1,97042,A,A,4184.75,1,0,6410543150694,130,17080,35103198,ES.v.0
1029,2022-08-26 10:59:37.217475459+00:00,2022-08-26 10:59:37.217309711+00:00,160,1,97042,A,A,4184.5,2,0,6410543150695,130,17080,35103198,ES.v.0
1030,2022-08-26 10:59:37.217475459+00:00,2022-08-26 10:59:37.217361303+00:00,160,1,97042,A,A,4184.5,1,0,6410543150696,130,17080,35103198,ES.v.0
1031,2022-08-26 10:59:37.217524083+00:00,2022-08-26 10:59:37.217369929+00:00,160,1,97042,A,A,4184.5,2,0,6410543150701,130,16753,35103199,ES.v.0
1032,2022-08-26 10:59:37.217530263+00:00,2022-08-26 10:59:37.217370627+00:00,160,1,97042,A,A,4184.5,1,0,6410543150702,130,16118,35103200,ES.v.0
1033,2022-08-26 10:59:37.217554371+00:00,2022-08-26 10:59:37.217390843+00:00,160,1,97042,C,B,4184.25,1,0,6410543150564,130,17601,35103202,ES.v.0
1034,2022-08-26 10:59:37.217611147+00:00,2022-08-26 10:59:37.217405767+00:00,160,1,97042,A,A,4184.5,1,0,6410543150708,130,16678,35103203,ES.v.0
1035,2022-08-26 10:59:37.217623359+00:00,2022-08-26 10:59:37.217418241+00:00,160,1,97042,A,A,4184.5,1,0,6410543150709,130,16853,35103205,ES.v.0
1036,2022-08-26 10:59:37.217635839+00:00,2022-08-26 10:59:37.217427503+00:00,160,1,97042,A,A,4184.5,1,0,6410543150710,130,16893,35103206,ES.v.0
1037,2022-08-26 10:59:37.217645151+00:00,2022-08-26 10:59:37.217431913+00:00,160,1,97042,C,B,4183.5,1,0,6410543150653,130,19606,35103207,ES.v.0
1038,2022-08-26 10:59:37.217650567+00:00,2022-08-26 10:59:37.217432417+00:00,160,1,97042,C,B,4183.5,1,0,6410543150643,130,15386,35103208,ES.v.0
1039,2022-08-26 10:59:37.217667699+00:00,2022-08-26 10:59:37.217470777+00:00,160,1,97042,A,A,4184.5,1,0,6410543150711,130,16421,35103210,ES.v.0
1040,2022-08-26 10:59:37.217674143+00:00,2022-08-26 10:59:37.217526143+00:00,160,1,97042,A,A,4184.5,1,0,6410543150712,130,16734,35103211,ES.v.0
1041,2022-08-26 10:59:37.217774343+00:00,2022-08-26 10:59:37.217668197+00:00,160,1,97042,A,B,4184.25,3,0,6410543150713,130,18759,35103212,ES.v.0
1042,2022-08-26 10:59:37.217782623+00:00,2022-08-26 10:59:37.217686831+00:00,160,1,97042,C,B,4184.25,1,0,6410543150323,130,17250,35103213,ES.v.0
1043,2022-08-26 10:59:37.217832619+00:00,2022-08-26 10:59:37.217737167+00:00,160,1,97042,A,B,4184.25,1,0,6410543150714,130,16294,35103214,ES.v.0
1044,2022-08-26 10:59:37.217881935+00:00,2022-08-26 10:59:37.217791213+00:00,160,1,97042,C,A,4184.5,1,0,6410543150696,130,18502,35103215,ES.v.0
1045,2022-08-26 10:59:37.218010027+00:00,2022-08-26 10:59:37.217907237+00:00,160,1,97042,A,B,4184.25,1,0,6410543150715,130,19242,35103216,ES.v.0
1046,2022-08-26 10:59:37.218120679+00:00,2022-08-26 10:59:37.218025291+00:00,160,1,97042,A,B,4184.25,2,0,6410543150716,130,18444,35103217,ES.v.0
1047,2022-08-26 10:59:37.218186950+00:00,2022-08-26 10:59:37.218104527+00:00,160,1,97042,C,B,4184.25,1,0,6410543150715,130,16154,35103218,ES.v.0
1048,2022-08-26 10:59:37.219281005+00:00,2022-08-26 10:59:37.219183377+00:00,160,1,97042,C,B,4184.25,1,0,6410543150615,130,19630,35103219,ES.v.0
1049,2022-08-26 10:59:37.219998676+00:00,2022-08-26 10:59:37.219901981+00:00,160,1,97042,C,B,4184.25,1,0,6410543150455,130,19314,35103220,ES.v.0
1050,2022-08-26 10:59:37.220032816+00:00,2022-08-26 10:59:37.219936373+00:00,160,1,97042,M,B,4184.25,2,0,6410543150713,130,16048,35103221,ES.v.0
1051,2022-08-26 10:59:37.220542983+00:00,2022-08-26 10:59:37.220455989+00:00,160,1,97042,C,B,4184.25,1,0,6410543150714,130,18416,35103222,ES.v.0
1052,2022-08-26 10:59:37.221280766+00:00,2022-08-26 10:59:37.221179061+00:00,160,1,97042,A,A,4185.5,1,0,6410543150717,130,19362,35103223,ES.v.0
1053,2022-08-26 10:59:37.232596769+00:00,2022-08-26 10:59:37.232500189+00:00,160,1,97042,A,B,4184.25,2,0,6410543150719,130,18955,35103225,ES.v.0
1054,2022-08-26 10:59:37.232694777+00:00,2022-08-26 10:59:37.232604571+00:00,160,1,97042,C,A,4184.5,2,0,6410543150701,130,18789,35103226,ES.v.0
1055,2022-08-26 10:59:37.232725461+00:00,2022-08-26 10:59:37.232641985+00:00,160,1,97042,C,A,4184.5,2,0,6410543150695,130,16617,35103227,ES.v.0
1056,2022-08-26 10:59:37.260155105+00:00,2022-08-26 10:59:37.260052293+00:00,160,1,97042,C,A,4184.5,1,0,6410543150710,130,18987,35103229,ES.v.0
1057,2022-08-26 10:59:37.260250469+00:00,2022-08-26 10:59:37.260166677+00:00,160,1,97042,C,A,4184.5,1,0,6410543150702,130,18313,35103230,ES.v.0
1058,2022-08-26 10:59:37.274420177+00:00,2022-08-26 10:59:37.274314483+00:00,160,1,97042,A,A,4185.5,1,0,6410543150720,130,18579,35103231,ES.v.0
1059,2022-08-26 10:59:37.445137896+00:00,2022-08-26 10:59:37.445013649+00:00,160,1,97042,C,A,4185.75,1,0,6410543150488,130,19602,35103232,ES.v.0
1060,2022-08-26 10:59:37.445239492+00:00,2022-08-26 10:59:37.445152917+00:00,160,1,97042,C,A,4184.5,1,0,6410543150687,130,18339,35103233,ES.v.0
1061,2022-08-26 10:59:37.445250564+00:00,2022-08-26 10:59:37.445164323+00:00,160,1,97042,C,A,4184.5,2,0,6410543150690,130,18642,35103234,ES.v.0
